accident,accidente
accidental,accidental
accompany,acompañar
acrobatic,acrobático
active,activo
activities,actividades
admire,admirar
admit,admitir
adult,adulto
adventure,aventura
adapt,adaptar
adopt,adoptar
adoption,adopción
agent,agente
august,agosto
air,aire
alarm,alarma
allergic,alergico
announce,anunciar
appear,aparecer
appetite,apetito
area,área
arithmetic,aritmética
artist,artista
association,asociación
astronomer,astrónomo
atmosphere,atmósfera
attention,atención
autograph,autógrafo
automobile,automóvil
bicycle,bicicleta
biography,biografía
blouse,blusa
brilliant,brillante
cabin,cabina
cable,cable
cafeteria,cafetería
camera,cámara
camouflage,camuflaje
captain,capitán
capture,capturar
catastrophe,catástrofe
cause,causa
celebrate,celebrar
center,centro
ceramic,cerámica
ceremony,ceremonia
chimney,chimenea
chimpanzee,chimpancé
circle,círculo
circular,circular
class,clase
coast,costa
colony,colonia
color,color
committee,comité
common,común
complete,completo
company,compañía
concert,concierto
confetti,confeti
confusing,confuso
confusion,confusión
constellation,constelación
construction,construcción
contagious,contagioso
continent,continente
continue,continuar
contract,contrato
contribution,contribución
curious,curioso
december,diciembre
decide,decidir
decoration,decoración
delicate,delicado
depend,depender
deport,deportar
describe,describir
destroy,destruir
detain,detener
determine,determinar
dictator,dictador
different,diferente
direction,dirección
directly,directamente
director,director
disappear,desaparecer
disaster,desastre
discrimination,discriminación
discuss,discutir
disgrace,desgracia
distance,distancia
distribute,distribuir
dollar,dólar
double,doble
dynamite,dinamita
electric,eléctrico
enormous,enorme
energy,energía
enter,entrar
escape,escapar
especially,especialmente
evolution,evolución
examine,examinar
exclaim,exclamar
explosion,explosión
exotic,exótico
extra,extra
extraordinary,extraordinario
family,familia
famous,famoso
fascinate,fascinar
favorite,favorito
ferocious,feroz
finally,finalmente
flower,flor
fortunately,afortunadamente
fruit,fruta
furious,furioso
galaxy,galaxia
garden,jardín
glorious,glorioso
group,grupo
guide,guía
history,historia
hour,hora
human,humano
idea,idea
identification,identificación
imagine,imaginar
immediately,inmediatamente
immigrants,inmigrantes
importance,importancia
important,importante
impressed,impresionado
impression,impresión
incredible,increíble
independence,independencia
information,información
insects,insectos
inseparable,inseparable
insist,insistir
inspection,inspección
intelligence,inteligencia
interesting,interesante
interrupt,interrumpir
introduction,introducción
invent,inventar
investigate,investigar
invitation,invitación
invite,invitar
island,isla
leader,líder
lemon,limón
lens,lente
lesson,lección
lessons,lecciones
line,línea
list,lista
locate,localizar
machine,máquina
magic,magia
magician,mago
magnificent,magnífico
manner,manera
map,mapa
march,marchar
medal,medalla
memory,memoria
million,millón
minute,minuto
minutes,minutos
moment,momento
monument,monumento
much,mucho
music,música
necessity,necesidad
nervous,nervioso
obedience,obediencia
object,objeto
observatory,observatorio
