abate,abatir
able,hable
absolutely,absoluto
abstract,abstracto
accommodate,acomodar
accord,acordar
achieve,archivar
actuality,actualidad
actualize,actualizar
actually,actualmente
advertisement,Advertencia
affluent,afluente
alien,alienar
anchor,ancho
antique,anticuado
apology,apología
appoint,apuntar
argument,argumento
arm,arma
articulate,articular
assassin,asesino
assist,asistir
assume,asumir
asylum,asilo
attend,atender
avocado,abogado
bachelor,bachiller
bald,balde
balloon,balón
bank,banco
bar,bar
bark,barco
bat,bate
billion,billón
bizarre,bizarro
bland,blando
body,boda
brave,bravo
burglar,burgués
camp,campo
can ,can
candid,candido
cap,capa
carpet,carpeta
cart,carta
cart,carta
cartoon,cartón
cast,casto
casualty,casualidad
cellular,celular
character,carácter
choke,chocar
clown,clon
code,codo
college,colegio
comfort,confortar
comic,cómico
commodity,comodidad
complex,complejo
compromise,compromiso
concrete,concreto
conductor,conductor
console,consolar
constipated,constipado
contemplate,contemplar
contest,contestar
convention,convicción
corn,corno
costume,costumbre
crane,craneo
crisis,crisis
curse,curso
dare,dar
date,dato
decent,decente
deception,decepción
delight,delito
demure,demorar
deport,deporte
desert,desierto
design,designio
despite,despistar
devil,débil
dice,dice
dinner,dinero
disgust,disgusto
diversion,diversión
drama,drama
editor,editor
educated,educado
embarrassed,embarazada
engage,engañar
envy,enviar
eventual,eventual
excited,excitado
exit,éxito
fabric,fábrica
farm,farmacia
feast,fiesta
fiancé,fianza
file,fila
firm,firma
floor,flor
form,forma
gang,ganga
gentle,gente
gloves,globos
got,gota
grape,grapa
grass,grasa
grip,gripa
grocery,grosería
gross,grueso
hazard,azar
humane,humano
hurt,hurtar
idiom,idioma
ignore,ignorar
impressed,impreso
improve,improvisar
influenza,influencia
influenza,influencia
injury,injuria
instance,instancia
insult,insulto
integer,íntegro
intoxicated,intoxicado
introduce,introducir
jam,jamón
journalist,jornalero
joy,joya
juice,juicio
large,largo
lecture,lectura
legend,leyenda
lent,lento
librarian,librero
library,librería
local,local
luxury,lujuria
magazine,magacín
major,mayor
mantle,mantel
master,maestro
molest,molestar
molester,molesto
note,nota
notice,noticia
novel,novela
nude,nudo
office,oficio
once,once
overall,overol
pan,pan
parade,parada
parade,parada
parents,parientes
pathetic,patético
pie,pie
piece,pieza
play,playa
plumber,plomero
policy,policía
preservative,preservativo
pretend,pretender
pretension,pretensión
prime,primo
probe,probar
pulp,pulpo
quiet,quieto
quit,quite
quotation,cotización
realize,realizar
reclaim,reclamar
record,recordar
regret,regresar
relatives,relativos
remark,remarcar
remove,remover
resume,resumir
resumé,resumen
retire,retirar
rise,risa
rope,ropa
rose,rosa
sensible,sensible
serious,serio
several,severo
sign,signo
sin,sin
soap,sopa
spectacles,espectáculos
stamp,estampa
stationery,estacionario
success,suceso
support,soportar
sympathetic,simpático
table,tabla
table,tabla
tail,tal
target,targeta
tax,taxi
terrific,terrorífico
tired,tirado
topic,tópico
tramp,trampa
trap,trapo
trunk,tronco
ultimate,último
ultimately,últimamente
vacation,vacación
various,varios
vase,vaso
vegetable,vegetal
victim,víctima
violation,violación
wagon,vagón
yacht,yate
yard,yarda
